sample_id,B,CD3 T,CD4 T,CD8 T,DC,DC/Mono,Endothelial,Macrophages,Mesenchymal-like,Mono/Neu,NK,Neutrophils,Other immune,Tregs,Unidentified,Tumor
1,1189,271,303,183,1,41,82,297,108,2,5,10,405,0,64,2206
2,6,24,38,284,10,3,157,530,422,115,10,9,108,0,31,1281
3,501,184,513,560,36,219,128,881,436,75,10,12,360,21,11,2368
4,386,243,814,322,4,216,139,1061,113,114,4,94,762,185,18,2168
5,9,225,329,567,9,57,200,984,212,254,0,69,233,53,45,2160
6,77,181,216,232,4,63,148,516,189,524,0,10,534,3,31,3270
7,0,1,1,5,0,1,10,248,191,17,0,239,23,0,111,2563
8,11,44,7,44,0,5,1,225,389,77,0,7,186,0,116,2024
9,97,338,453,483,63,57,89,955,53,176,9,110,453,61,29,2713
10,42,177,227,456,7,51,60,924,137,518,23,72,342,42,14,1488
11,4,60,127,338,3,14,34,442,42,262,1,156,55,126,3,3445
12,101,109,531,853,0,108,12,1894,11,130,11,111,86,284,1,2753
13,271,423,529,1847,3,33,46,1207,138,77,24,46,430,300,7,2284
14,3,46,101,433,0,2,31,306,79,110,4,32,52,5,5,5061
15,0,0,1,0,0,0,40,102,28,3,0,1,6,0,209,2925
16,87,157,2258,2946,7,110,51,606,10,16,159,48,57,50,0,1650
17,684,262,750,670,8,34,68,592,37,93,10,54,111,163,0,3535
18,10,37,26,46,0,0,9,256,27,18,1,12,23,11,7,5056
19,7,2,0,2,0,3,30,181,1048,13,91,4,11,0,57,2951
20,38,163,52,553,0,32,9,183,15,249,0,410,85,1,6,3307
21,1,9,16,9,6,6,18,182,126,46,12,105,69,3,7,4808
22,2,2,6,6,0,1,18,147,58,5,0,3,11,0,239,2574
23,3,22,42,55,0,7,163,468,127,36,13,9,68,5,31,3441
24,0,7,7,1,0,0,3,33,39,3,0,25,7,2,5,4481
25,0,6,26,10,0,20,12,75,816,48,2,15,59,6,16,1547
26,0,0,0,0,0,0,22,83,243,10,0,13,6,0,35,4707
27,1,40,42,32,2,12,68,365,264,176,6,17,174,0,21,3112
28,2426,129,987,302,120,48,42,322,187,15,89,40,50,23,7,1274
29,0,86,74,701,0,122,14,449,410,139,3,4,214,13,18,2572
31,0,0,2,5,0,5,112,295,185,10,2,13,15,0,0,2771
32,59,211,563,1560,0,37,32,1044,7,60,46,38,23,16,6,1456
33,4,9,12,32,1,37,11,214,525,8,0,6,70,0,23,1094
34,14,19,17,210,0,5,23,459,48,88,0,285,549,0,121,1018
35,2804,462,2207,959,16,199,58,224,41,1,3,6,180,0,8,548
36,6,83,175,342,1,21,66,444,952,10,9,56,307,0,32,435
37,306,415,491,867,5,56,183,1002,182,102,9,25,1497,10,43,1087
38,3,31,56,40,0,13,29,678,127,132,0,4,122,2,6,3087
39,73,253,227,604,15,11,34,612,7,83,17,187,395,0,7,1505
40,591,72,207,282,637,50,338,282,543,14,34,26,313,16,12,868
41,192,327,330,295,0,229,47,553,400,324,15,97,598,0,25,1100